household_key,drop_week,dropped_rolling,drop70_holdout,sig_week_1.5,lead_1.5,sig_week_2.0,lead_2.0,sig_week_2.5,lead_2.5
707,,False,False,51.0,,51.0,,51.0,
709,51.0,True,False,52.0,-1.0,52.0,-1.0,52.0,-1.0
712,,False,False,52.0,,53.0,,67.0,
718,93.0,True,False,53.0,40.0,,,,
722,,False,False,58.0,,77.0,,,
728,65.0,True,True,51.0,14.0,51.0,14.0,72.0,-7.0
740,67.0,True,False,51.0,16.0,51.0,16.0,81.0,-14.0
745,,False,False,51.0,,,,,
761,52.0,True,False,54.0,-2.0,54.0,-2.0,54.0,-2.0
762,,False,False,55.0,,55.0,,87.0,
766,,False,False,53.0,,,,,
771,,False,False,54.0,,54.0,,54.0,
776,54.0,True,True,57.0,-3.0,68.0,-14.0,68.0,-14.0
786,66.0,True,False,51.0,15.0,51.0,15.0,54.0,12.0
788,52.0,True,False,51.0,1.0,66.0,-14.0,80.0,-28.0
800,59.0,True,False,51.0,8.0,51.0,8.0,51.0,8.0
804,54.0,True,True,55.0,-1.0,55.0,-1.0,68.0,-14.0
806,51.0,True,False,53.0,-2.0,53.0,-2.0,53.0,-2.0
820,51.0,True,False,51.0,0.0,51.0,0.0,51.0,0.0
825,59.0,True,False,51.0,8.0,58.0,1.0,91.0,-32.0
831,63.0,True,False,55.0,8.0,,,,
840,57.0,True,False,58.0,-1.0,59.0,-2.0,,
844,53.0,True,False,51.0,2.0,54.0,-1.0,55.0,-2.0
845,62.0,True,True,63.0,-1.0,63.0,-1.0,65.0,-3.0
849,59.0,True,False,51.0,8.0,51.0,8.0,62.0,-3.0
853,74.0,True,False,52.0,22.0,52.0,22.0,66.0,8.0
855,64.0,True,False,80.0,-16.0,80.0,-16.0,80.0,-16.0
859,51.0,True,False,51.0,0.0,51.0,0.0,51.0,0.0
864,,False,False,61.0,,63.0,,,
868,,False,False,51.0,,53.0,,70.0,
871,62.0,True,False,51.0,11.0,51.0,11.0,56.0,6.0
878,55.0,True,False,53.0,2.0,53.0,2.0,53.0,2.0
882,54.0,True,True,52.0,2.0,52.0,2.0,53.0,1.0
883,61.0,True,False,51.0,10.0,68.0,-7.0,71.0,-10.0
886,59.0,True,True,52.0,7.0,53.0,6.0,53.0,6.0
888,64.0,True,False,64.0,0.0,71.0,-7.0,74.0,-10.0
889,,False,False,56.0,,,,,
891,62.0,True,False,55.0,7.0,,,,
895,,False,False,54.0,,,,,
898,,False,False,55.0,,55.0,,55.0,
900,,False,False,62.0,,64.0,,,
906,79.0,True,True,52.0,27.0,53.0,26.0,53.0,26.0
908,65.0,True,False,51.0,14.0,54.0,11.0,55.0,10.0
