household_key,drop_week,sig_week_1.5,lead_1.5,sig_week_2.0,lead_2.0
931,51.0,53.0,-2.0,53.0,-2.0
932,53.0,51.0,2.0,53.0,0.0
934,,51.0,,,
936,,74.0,,75.0,
956,85.0,51.0,34.0,51.0,34.0
968,56.0,51.0,5.0,51.0,5.0
972,51.0,58.0,-7.0,58.0,-7.0
973,,51.0,,52.0,
979,51.0,51.0,0.0,53.0,-2.0
982,66.0,57.0,9.0,60.0,6.0
998,68.0,55.0,13.0,64.0,4.0
1020,,51.0,,52.0,
1023,,51.0,,51.0,
1024,,51.0,,51.0,
1029,,62.0,,87.0,
1039,53.0,57.0,-4.0,66.0,-13.0
1040,81.0,83.0,-2.0,83.0,-2.0
1041,,54.0,,,
1057,58.0,59.0,-1.0,60.0,-2.0
1074,,73.0,,,
1078,56.0,51.0,5.0,52.0,4.0
1081,75.0,54.0,21.0,61.0,14.0
1091,63.0,57.0,6.0,57.0,6.0
1097,57.0,60.0,-3.0,60.0,-3.0
1098,,62.0,,,
1103,66.0,55.0,11.0,61.0,5.0
1111,,51.0,,51.0,
1130,63.0,54.0,9.0,56.0,7.0
1134,68.0,51.0,17.0,51.0,17.0
1139,67.0,68.0,-1.0,72.0,-5.0
1142,,54.0,,67.0,
1146,,56.0,,69.0,
1159,54.0,74.0,-20.0,74.0,-20.0
1166,,54.0,,54.0,
1167,75.0,53.0,22.0,55.0,20.0
1169,60.0,53.0,7.0,62.0,-2.0
1175,77.0,83.0,-6.0,83.0,-6.0
1179,,65.0,,,
1203,,,,,
1206,72.0,51.0,21.0,51.0,21.0
1211,,51.0,,58.0,
1216,63.0,51.0,12.0,92.0,-29.0
1222,59.0,51.0,8.0,52.0,7.0
1226,,76.0,,,
1228,,51.0,,51.0,
1229,56.0,56.0,0.0,56.0,0.0
1234,51.0,52.0,-1.0,91.0,-40.0
1236,60.0,51.0,9.0,51.0,9.0
1238,51.0,51.0,0.0,51.0,0.0
1240,68.0,51.0,17.0,52.0,16.0
1246,53.0,56.0,-3.0,56.0,-3.0
1247,,,,,
1248,64.0,70.0,-6.0,70.0,-6.0
1260,54.0,56.0,-2.0,72.0,-18.0
1263,65.0,52.0,13.0,54.0,11.0
1264,51.0,51.0,0.0,,
1272,,52.0,,52.0,
1274,82.0,64.0,18.0,64.0,18.0
1277,51.0,51.0,0.0,61.0,-10.0
1282,69.0,61.0,8.0,68.0,1.0
1305,67.0,51.0,16.0,52.0,15.0
1312,53.0,51.0,2.0,51.0,2.0
1314,79.0,55.0,24.0,56.0,23.0
1318,,54.0,,,
1333,,,,,
1336,53.0,51.0,2.0,53.0,0.0
1337,87.0,53.0,34.0,64.0,23.0
1349,89.0,58.0,31.0,101.0,-12.0
1352,53.0,53.0,0.0,54.0,-1.0
1367,,51.0,,55.0,
1370,,,,,
1376,67.0,51.0,16.0,74.0,-7.0
1378,,62.0,,,
1379,,54.0,,54.0,
1385,66.0,51.0,15.0,51.0,15.0
1388,,51.0,,75.0,
1391,70.0,64.0,6.0,,
1396,51.0,56.0,-5.0,60.0,-9.0
1419,55.0,53.0,2.0,53.0,2.0
1430,,51.0,,,
1437,69.0,53.0,16.0,53.0,16.0
1453,,51.0,,64.0,
1461,,51.0,,51.0,
1475,,51.0,,54.0,
1476,78.0,51.0,27.0,53.0,25.0
1479,,51.0,,52.0,
1489,,,,,
1491,68.0,63.0,5.0,68.0,0.0
1501,53.0,53.0,0.0,,
1505,51.0,51.0,0.0,51.0,0.0
1510,,54.0,,61.0,
1515,71.0,52.0,19.0,77.0,-6.0
1527,67.0,56.0,11.0,58.0,9.0
1528,,56.0,,57.0,
1529,,55.0,,55.0,
1535,,61.0,,62.0,
1536,63.0,51.0,12.0,52.0,11.0
1541,52.0,59.0,-7.0,59.0,-7.0
1548,51.0,51.0,0.0,51.0,0.0
1557,62.0,63.0,-1.0,64.0,-2.0
1563,51.0,51.0,0.0,57.0,-6.0
1579,,51.0,,54.0,
1584,75.0,59.0,16.0,64.0,11.0
1585,53.0,54.0,-1.0,56.0,-3.0
1588,88.0,51.0,37.0,51.0,37.0
1590,55.0,51.0,4.0,51.0,4.0
1595,72.0,62.0,10.0,68.0,4.0
1598,81.0,84.0,-3.0,84.0,-3.0
1602,62.0,55.0,7.0,,
1609,,54.0,,55.0,
1612,88.0,51.0,37.0,55.0,33.0
1613,,89.0,,,
1620,,56.0,,63.0,
1630,,51.0,,51.0,
1631,,53.0,,53.0,
1633,,51.0,,52.0,
1634,57.0,51.0,6.0,59.0,-2.0
1640,53.0,51.0,2.0,52.0,1.0
1653,57.0,51.0,6.0,60.0,-3.0
1662,92.0,51.0,41.0,52.0,40.0
1673,51.0,53.0,-2.0,53.0,-2.0
1675,76.0,78.0,-2.0,,
1677,,51.0,,51.0,
1693,78.0,55.0,23.0,,
1694,,55.0,,72.0,
1707,51.0,51.0,0.0,51.0,0.0
1710,66.0,51.0,15.0,93.0,-27.0
1722,74.0,51.0,23.0,51.0,23.0
1762,,51.0,,51.0,
1764,,53.0,,56.0,
1767,67.0,54.0,13.0,56.0,11.0
1769,57.0,51.0,6.0,51.0,6.0
1770,63.0,51.0,12.0,52.0,11.0
1775,,85.0,,94.0,
1776,51.0,51.0,0.0,51.0,0.0
1778,65.0,59.0,6.0,70.0,-5.0
1788,,55.0,,,
1795,,70.0,,78.0,
1803,77.0,56.0,21.0,86.0,-9.0
1804,,51.0,,69.0,
1807,66.0,55.0,11.0,55.0,11.0
1822,51.0,51.0,0.0,51.0,0.0
1823,,51.0,,63.0,
1828,51.0,51.0,0.0,51.0,0.0
1829,67.0,52.0,15.0,76.0,-9.0
1835,56.0,58.0,-2.0,58.0,-2.0
1845,56.0,55.0,1.0,61.0,-5.0
1848,58.0,52.0,6.0,68.0,-10.0
1850,53.0,54.0,-1.0,54.0,-1.0
1852,69.0,57.0,12.0,57.0,12.0
1854,54.0,51.0,3.0,51.0,3.0
1864,63.0,54.0,9.0,65.0,-2.0
1865,73.0,60.0,13.0,,
1892,63.0,60.0,3.0,62.0,1.0
1899,,,,,
1900,51.0,54.0,-3.0,54.0,-3.0
1901,56.0,51.0,5.0,51.0,5.0
1906,73.0,51.0,22.0,79.0,-6.0
1907,72.0,51.0,21.0,52.0,20.0
1917,52.0,51.0,1.0,51.0,1.0
1935,96.0,54.0,42.0,,
1943,59.0,51.0,8.0,62.0,-3.0
1944,,58.0,,58.0,
1947,,51.0,,64.0,
1955,64.0,51.0,13.0,52.0,12.0
1971,51.0,53.0,-2.0,59.0,-8.0
1975,,54.0,,68.0,
1985,,74.0,,75.0,
1995,51.0,52.0,-1.0,52.0,-1.0
2004,,53.0,,81.0,
2007,,62.0,,63.0,
2012,,53.0,,,
2015,,64.0,,,
2019,81.0,51.0,30.0,54.0,27.0
2020,69.0,53.0,16.0,69.0,0.0
2022,,51.0,,58.0,
2062,51.0,51.0,0.0,51.0,0.0
2076,60.0,56.0,4.0,58.0,2.0
2079,67.0,55.0,12.0,55.0,12.0
2080,51.0,51.0,0.0,51.0,0.0
2083,57.0,52.0,5.0,82.0,-25.0
2085,,52.0,,61.0,
2087,,76.0,,,
2097,82.0,69.0,13.0,84.0,-2.0
2110,,69.0,,,
2115,,52.0,,52.0,
2116,91.0,51.0,40.0,53.0,38.0
2129,,62.0,,62.0,
2131,62.0,53.0,9.0,53.0,9.0
2133,56.0,52.0,4.0,57.0,-1.0
2134,,61.0,,70.0,
2142,,72.0,,,
2162,,,,,
2168,76.0,56.0,20.0,82.0,-6.0
2170,75.0,63.0,12.0,77.0,-2.0
2184,51.0,51.0,0.0,71.0,-20.0
2185,62.0,53.0,9.0,65.0,-3.0
2190,97.0,57.0,40.0,57.0,40.0
2193,54.0,56.0,-2.0,56.0,-2.0
2194,,51.0,,53.0,
2199,74.0,51.0,23.0,60.0,14.0
2200,,61.0,,,
2207,58.0,55.0,3.0,58.0,0.0
2208,67.0,51.0,16.0,52.0,15.0
2209,51.0,51.0,0.0,57.0,-6.0
2226,92.0,51.0,41.0,51.0,41.0
2227,51.0,51.0,0.0,51.0,0.0
2233,54.0,51.0,3.0,52.0,2.0
2234,62.0,57.0,5.0,68.0,-6.0
2260,51.0,53.0,-2.0,53.0,-2.0
2261,,69.0,,71.0,
2264,67.0,54.0,13.0,54.0,13.0
2266,,75.0,,,
2277,55.0,54.0,1.0,57.0,-2.0
2280,,,,,
2284,54.0,55.0,-1.0,55.0,-1.0
2294,51.0,51.0,0.0,51.0,0.0
2295,75.0,51.0,24.0,70.0,5.0
2296,,52.0,,56.0,
2301,60.0,51.0,9.0,51.0,9.0
2305,56.0,51.0,5.0,58.0,-2.0
2307,67.0,61.0,6.0,78.0,-11.0
2312,54.0,53.0,1.0,53.0,1.0
2314,75.0,51.0,24.0,,
2317,81.0,51.0,30.0,51.0,30.0
2318,68.0,51.0,17.0,51.0,17.0
