구분,n,baseline_중앙간격_중앙값,간격IQR_중앙값,간격IQR/중앙간격_중앙값,baseline_방문수_중앙값
오탐(복귀),1855,5.0,6.0,1.1,30.0
정탐(이탈),35,6.5,8.0,1.1428571428571428,21.0
