household_key,alert_day,week,high_value
101,381,55,False
101,460,66,False
101,479,69,False
101,507,73,False
101,537,77,False
101,549,79,False
103,349,50,False
103,387,56,False
103,416,60,False
103,431,62,False
103,464,67,False
103,533,77,False
104,414,60,False
104,478,69,False
104,496,71,False
104,508,73,False
104,536,77,False
104,554,80,False
105,416,60,False
105,467,67,False
105,484,70,False
105,524,75,False
107,349,50,False
107,377,54,False
108,360,52,False
108,382,55,False
108,417,60,False
108,448,64,False
108,464,67,False
108,490,70,False
108,504,72,False
108,548,79,False
109,431,62,False
109,478,69,False
109,497,71,False
110,352,51,False
110,385,55,False
110,412,59,False
110,420,60,False
110,442,64,False
110,452,65,False
110,477,69,False
110,501,72,False
110,509,73,False
110,531,76,False
110,540,78,False
110,557,80,False
111,364,52,False
111,417,60,False
111,499,72,False
113,460,66,True
113,557,80,True
114,349,50,False
114,370,53,False
114,467,67,False
115,418,60,True
116,349,50,False
116,363,52,False
116,377,54,False
116,397,57,False
116,446,64,False
116,464,67,False
116,521,75,False
116,544,78,False
116,556,80,False
117,420,60,False
117,439,63,False
117,555,80,False
119,357,51,False
119,376,54,False
119,389,56,False
119,397,57,False
119,414,60,False
119,446,64,False
119,460,66,False
119,473,68,False
119,486,70,False
119,513,74,False
119,522,75,False
119,537,77,False
119,545,78,False
121,351,51,False
121,363,52,False
121,395,57,False
121,404,58,False
121,427,61,False
121,443,64,False
121,479,69,False
121,488,70,False
121,500,72,False
121,513,74,False
121,523,75,False
121,544,78,False
122,349,50,False
122,386,56,False
122,449,65,False
122,521,75,False
122,550,79,False
123,382,55,False
123,422,61,False
123,445,64,False
123,502,72,False
123,531,76,False
123,550,79,False
124,384,55,False
124,404,58,False
124,451,65,False
124,505,73,False
125,382,55,True
125,389,56,True
125,408,59,True
125,429,62,True
125,452,65,True
125,477,69,True
125,550,79,True
126,349,50,False
126,417,60,False
126,458,66,False
126,533,77,False
127,367,53,False
127,387,56,False
127,398,57,False
127,419,60,False
127,425,61,False
127,438,63,False
127,446,64,False
127,453,65,False
127,467,67,False
127,497,71,False
127,503,72,False
127,511,73,False
127,543,78,False
127,558,80,False
131,390,56,True
131,402,58,True
131,410,59,True
131,417,60,True
131,424,61,True
131,432,62,True
131,453,65,True
131,465,67,True
131,491,71,True
131,504,72,True
