구분,n,캠페인수신,쿠폰사용,선호상품프로모션노출,대상
복귀,1855,0.261455525606469,0.0037735849056603774,0.9407008086253369,전체 경보
이탈,35,0.34285714285714286,0.02857142857142857,0.8285714285714286,전체 경보
복귀,374,0.4358288770053476,0.0106951871657754,0.9893048128342246,고가치 경보
이탈,3,0.6666666666666666,0.0,1.0,고가치 경보
