신호,양성,TP,precision,recall,lift
뜸해짐 x1.5,161,72,0.4472049689440994,0.6666666666666666,1.6563146997929605
뜸해짐 x2.0,100,55,0.55,0.5092592592592593,2.037037037037037
뜸해짐 x3.0,48,32,0.6666666666666666,0.2962962962962963,2.4691358024691357
기존 경보 한 번이라도,374,104,0.27807486631016043,0.9629629629629629,1.0299069122598534
경보 x2.0 + 7일 무복귀,180,79,0.4388888888888889,0.7314814814814815,1.6255144032921809
