household_key,widen_15,widen_20,retention
6,True,True,0.6400484582690382
13,True,False,1.1291678759960806
18,False,False,1.1536133726357047
19,False,False,1.578285688175798
40,False,False,1.1524186662838984
46,False,False,2.0075755911524027
56,False,False,1.2046895693291195
58,False,False,1.0303240177522266
67,False,False,1.6249407963530116
69,False,False,0.8939286665284809
72,True,True,0.8376173777976513
81,True,True,0.13869804579757697
88,False,False,0.8034667954356425
99,False,False,0.888811545417789
113,False,False,1.1483829588800085
115,False,False,1.4336795940175513
125,False,False,0.9184260838732673
131,True,False,0.855643667093654
143,True,True,0.13345918511661065
149,False,False,0.9541679776426053
156,True,True,0.3405708176801403
184,True,True,1.25740808667927
196,True,False,0.761155205942523
198,True,True,0.5776821026537259
209,False,False,1.104479074301783
218,True,True,0.7009462491048852
219,False,False,1.1794943728857665
222,False,False,0.6251352299279269
232,True,True,0.20664797202462798
235,True,False,0.8113926080101835
242,False,False,0.975825083029541
243,False,False,1.482209533814031
248,False,False,1.6831363259063974
253,False,False,0.7711017741538347
256,False,False,0.8215765284374208
262,True,True,0.2228679114451397
263,False,False,0.964606482944134
300,True,True,0.40022138675333535
304,False,False,1.499429487506579
317,True,False,0.7465372873946862
321,True,False,0.7969456442741938
324,False,False,0.7010222389352548
328,False,False,0.892887153042043
351,True,True,0.9123602189963748
354,True,True,0.936324560197647
358,False,False,0.9374296319011802
361,False,False,1.2528825656094256
365,True,True,0.5902172606051402
367,False,False,1.233053704759759
371,False,False,1.5148662945532814
374,False,False,0.459904761603632
376,True,True,0.5682725681595334
378,True,False,0.6298304325233947
380,False,False,0.9712356503658034
383,True,False,0.7397564805444119
387,True,False,1.1182478345989142
389,False,False,0.8289305563158247
392,False,False,1.2975425238637701
397,False,False,0.8385052892347765
400,False,False,1.023623417664198
411,True,False,1.1661098317714347
421,False,False,0.7563531291256954
425,False,False,0.9473489705348334
426,True,False,0.947719808464915
437,False,False,0.4334936620184125
454,False,False,1.1013067124426241
456,False,False,0.8430285122962806
469,False,False,0.7886819136169873
472,True,False,0.0824516864657833
492,False,False,0.5730654964245421
510,False,False,0.8677936450298941
513,False,False,0.9818393780815072
548,True,False,0.48155086965906313
553,False,False,0.949888390070716
560,True,False,1.3683983039979013
569,True,True,0.46816445565179265
574,False,False,1.3658774050930909
575,False,False,0.8506466760029657
577,True,True,0.8346496373586232
582,True,True,0.7591536066392076
588,False,False,1.0664546162221855
591,False,False,0.3235370959485823
607,True,True,0.01510817027945846
623,True,False,0.09313147316844173
631,False,False,1.2152390171586285
633,False,False,0.8760867707845372
636,False,False,1.5187329325519936
638,False,False,1.1175646196418767
641,False,False,1.0638397364906467
653,True,False,0.6888403762485561
660,True,False,0.7032135871498475
661,False,False,0.7914658302340208
669,False,False,0.636503058366811
676,False,False,1.387078765711191
693,True,False,0.4784437935870405
695,False,False,1.7614455931393689
696,False,False,1.1751902768383267
699,True,False,1.1707494639115343
702,True,False,1.3531425859870747
703,False,False,0.9760518829671302
707,True,True,1.0138087976796728
709,True,True,0.8174126305967063
712,True,True,0.8795634167027488
718,False,False,0.9482200524804095
722,False,False,1.2175853011378226
728,True,True,0.20067143166558377
740,True,True,1.1919271544265198
745,True,False,0.8276581011174894
761,False,False,1.6787936249236026
762,False,False,1.5807521707440053
766,False,False,1.0315718523243615
771,False,False,1.4659487959490443
776,False,False,0.17449429980693304
786,True,True,1.039541942427035
788,True,True,0.820591415867584
800,False,False,1.0322828302298486
804,True,True,0.3820247091890251
806,True,False,1.0151811284119834
820,True,True,0.7781540723906569
825,True,True,0.7508491609018961
831,False,False,1.0667288389806517
840,False,False,1.4032631021003115
844,False,False,0.8458119418031417
845,True,True,0.6233572325397632
849,True,False,0.8669638311153584
853,True,False,0.8563701453541973
855,True,True,1.3793385472575783
859,False,False,0.9363768425772503
864,False,False,1.382940400241467
868,True,False,0.7955313770682778
871,False,False,0.8615295857111608
878,True,False,0.7182042165245871
882,True,True,0.5945834369532504
883,False,False,1.03098068131544
886,True,True,0.4655195040580103
888,False,False,1.189260547709528
889,True,False,0.8334227319823757
891,False,False,1.4558811025399703
895,False,False,1.3497150598560843
898,True,False,0.9936532001081518
900,False,False,1.0318681058775032
906,True,False,0.6837352992175998
908,True,True,0.7875269112864169
909,True,True,0.3986641069623201
926,False,False,0.5977326044905118
931,True,False,0.8398922792465412
932,True,True,0.8246426978815043
934,False,False,1.3778618348751845
936,False,False,1.1809451151789228
956,False,False,0.842559677628416
968,False,False,1.1438473472079322
972,False,False,0.4041881535720229
973,False,False,1.3295826103744703
979,False,False,1.5288619426550456
982,True,True,0.9154819875815102
998,True,True,0.6503678832258939
1020,False,False,1.7204562801838912
1023,False,False,1.7658950577178065
1024,False,False,1.268695427928749
1029,False,False,1.047241687441277
1039,False,False,0.8187803384441568
1040,False,False,0.7450702796848168
1041,False,False,1.7697730193385854
1057,False,False,1.3432051838143937
1074,False,False,1.467843160338298
1078,False,False,0.5147394157564207
1081,True,True,1.034412639777038
1091,True,True,0.07898094870755525
1097,False,False,0.7491847724543113
1098,False,False,1.154273143401792
1103,False,False,0.5250961853931285
1111,True,True,0.7914428286284576
1130,True,True,1.1161669858006447
1134,True,True,0.9790095192902131
1139,True,True,0.6867264946987058
1142,False,False,1.5113855340138345
1146,False,False,1.027093428893323
1159,True,False,0.6187478485962522
1166,False,False,0.9154237489299007
1167,True,False,0.7588845637412052
1169,False,False,0.7446798104277138
1175,False,False,0.8287515767663306
1179,False,False,1.4184713289043993
1203,False,False,1.1544746261539673
1206,True,True,0.6960284390246614
1211,True,True,1.0420832903233208
1216,False,False,0.2515151973190312
1222,True,False,0.4048732989452936
1226,False,False,1.4017233716703905
1228,False,False,1.2672238124948119
1229,False,False,1.0675584359738304
1234,False,False,0.9508581112998582
1236,True,True,0.35787609342299115
1238,True,True,0.3188153806381748
1240,False,False,1.670859945444519
1246,True,False,0.8639259516918358
1247,False,False,0.9821223530668379
