구분,n,baseline_중앙간격_중앙값,baseline_방문수_중앙값,baseline_주당지출_중앙값,recent3배율_중앙값
유지(>=70%),89,3.0,62.0,77.86411764705883,2.0
하락(<70%),72,2.5,64.0,78.52926470588235,2.5555555555555554
