household_key,base_8w_avg_cats,eval_end_8w_cats,cat_ratio,cat_fire,widen_15,drop70
6,65.70370370370371,53,0.806651634723788,False,True,True
13,77.14814814814815,69,0.8943831012962074,False,True,False
18,60.96296296296296,70,1.1482381530984205,False,False,False
19,79.51851851851852,111,1.3959012575687004,False,False,False
40,94.70370370370371,97,1.0242471646460696,False,False,False
46,54.22222222222222,82,1.5122950819672132,False,False,False
56,81.14814814814815,57,0.7024189867640347,False,False,False
58,81.0,110,1.3580246913580247,False,False,False
67,83.18518518518519,80,0.9617097061442564,False,False,False
69,59.333333333333336,68,1.146067415730337,False,False,False
72,80.77777777777777,77,0.953232462173315,False,True,False
81,83.33333333333333,25,0.30000000000000004,True,True,True
88,108.96296296296296,120,1.1012916383412645,False,False,False
99,77.18518518518519,70,0.9069097888675623,False,False,False
113,115.88888888888889,106,0.9146692233940557,False,False,False
115,79.44444444444444,67,0.8433566433566434,False,False,False
125,73.92592592592592,69,0.9333667334669339,False,False,False
131,72.85185185185185,51,0.7000508388408745,False,True,False
143,85.66666666666667,65,0.7587548638132295,False,True,True
149,86.25925925925925,99,1.1477028767711466,False,False,False
156,84.88888888888889,56,0.6596858638743456,True,True,True
184,53.370370370370374,46,0.8619014573213046,False,True,False
196,73.22222222222223,56,0.7647951441578148,False,True,False
198,104.96296296296296,77,0.733592095977417,False,True,True
209,49.25925925925926,54,1.0962406015037593,False,False,False
218,67.29629629629629,41,0.6092460099064393,True,True,False
219,101.74074074074075,114,1.1204950855478704,False,False,False
222,60.370370370370374,51,0.8447852760736195,False,False,True
232,120.18518518518519,96,0.7987673343605547,False,True,True
235,82.96296296296296,56,0.675,True,True,False
242,67.5925925925926,62,0.9172602739726027,False,False,False
243,74.03703703703704,86,1.1615807903951976,False,False,False
248,75.22222222222223,69,0.9172821270310191,False,False,False
253,89.48148148148148,90,1.005794701986755,False,False,False
256,79.37037037037037,82,1.0331311245916939,False,False,False
262,78.81481481481481,9,0.11419172932330827,True,True,True
263,71.14814814814815,70,0.9838625715773034,False,False,False
300,69.29629629629629,26,0.37520042757883487,True,True,True
304,73.88888888888889,83,1.1233082706766917,False,False,False
317,64.66666666666667,59,0.9123711340206185,False,True,False
321,62.25925925925926,41,0.6585365853658537,True,True,False
324,81.44444444444444,93,1.1418826739427013,False,False,False
328,119.22222222222223,135,1.1323392357875115,False,False,False
351,62.77777777777778,81,1.2902654867256638,False,True,False
354,95.88888888888889,77,0.8030127462340673,False,True,False
358,100.74074074074075,107,1.0621323529411764,False,False,False
361,88.74074074074075,95,1.0705342237061768,False,False,False
365,62.18518518518518,38,0.6110780226325194,True,True,True
367,67.88888888888889,85,1.2520458265139116,False,False,False
371,119.4074074074074,125,1.0468362282878412,False,False,False
374,73.92592592592592,42,0.5681362725450902,True,False,True
376,57.22222222222222,51,0.8912621359223301,False,True,True
378,65.92592592592592,46,0.697752808988764,True,True,True
380,72.70370370370371,64,0.880285277636271,False,False,False
383,63.48148148148148,61,0.9609101516919487,False,True,False
387,65.44444444444444,70,1.069609507640068,False,True,False
389,111.4074074074074,99,0.8886303191489362,False,False,False
392,91.5925925925926,105,1.1463809138697938,False,False,False
397,70.88888888888889,63,0.8887147335423198,False,False,False
400,121.14814814814815,118,0.9740140629776827,False,False,False
411,43.2962962962963,50,1.1548331907613345,False,True,False
421,71.07407407407408,42,0.5909327774882751,True,False,False
425,48.77777777777778,40,0.8200455580865603,False,False,False
426,82.37037037037037,77,0.9348021582733813,False,True,False
437,52.7037037037037,47,0.8917779339423753,False,False,True
454,74.70370370370371,63,0.8433316807139315,False,False,False
456,60.7037037037037,52,0.8566198901769372,False,False,False
469,83.88888888888889,81,0.9655629139072848,False,False,False
472,92.03703703703704,101,1.0973843058350101,False,True,True
492,70.25925925925925,89,1.2667369530838166,False,False,True
510,98.18518518518519,99,1.008298755186722,False,False,False
513,51.03703703703704,54,1.058055152394775,False,False,False
548,70.22222222222223,33,0.46993670886075944,True,True,True
553,85.44444444444444,96,1.1235370611183355,False,False,False
560,76.14814814814815,73,0.9586575875486381,False,True,False
569,72.77777777777777,19,0.26106870229007634,True,True,True
574,53.55555555555556,73,1.3630705394190872,False,False,False
575,105.48148148148148,93,0.8816713483146067,False,False,False
577,67.88888888888889,32,0.4713584288052373,True,True,False
582,55.0,36,0.6545454545454545,True,True,False
588,97.18518518518519,91,0.9363567073170731,False,False,False
591,104.03703703703704,105,1.0092559629761482,False,False,True
607,78.0,1,0.01282051282051282,True,True,True
623,47.2962962962963,10,0.211433046202036,True,True,True
631,83.4074074074074,93,1.1150088809946714,False,False,False
633,66.4074074074074,28,0.4216397099832683,True,False,False
636,74.18518518518519,105,1.4153769345981027,False,False,False
638,81.88888888888889,70,0.8548168249660787,False,False,False
641,106.25925925925925,99,0.9316835134193099,False,False,False
653,113.62962962962963,87,0.765645371577575,False,True,True
