household_key,median_gap,recent3_mean_gap_w5180,widen_15,widen_20,base_weekly_spend,hold_weekly_spend,retention,base_spend_total,base_visits,hold_visits,base_spend_per_visit,hold_spend_per_visit
6,2.0,4.333333333333333,True,True,78.63764705882353,50.33190476190477,0.6400484582690382,2673.6800000000003,85,46,31.455058823529416,22.977608695652176
13,4.0,6.333333333333333,True,False,102.34970588235292,115.57000000000001,1.1291678759960806,3479.8899999999994,60,47,57.998166666666656,51.63765957446809
18,5.0,2.3333333333333335,False,False,70.67235294117646,81.52857142857144,1.1536133726357047,2402.8599999999997,43,36,55.88046511627906,47.55833333333334
19,3.0,1.3333333333333333,False,False,77.2429411764706,121.91142857142859,1.578285688175798,2626.26,73,65,35.976164383561645,39.38676923076923
40,2.0,2.0,False,False,109.47823529411767,126.1647619047619,1.1524186662838984,3722.2600000000007,107,64,34.787476635514025,41.3978125
46,5.0,2.6666666666666665,False,False,63.11735294117646,126.71285714285717,2.0075755911524027,2145.99,28,38,76.6425,70.02552631578949
56,3.0,4.333333333333333,False,False,68.23176470588236,82.19809523809523,1.2046895693291195,2319.88,62,44,37.417419354838714,39.23090909090909
58,2.5,3.0,False,False,74.2558823529412,76.50761904761904,1.0303240177522266,2524.7000000000007,75,35,33.662666666666674,45.90457142857143
67,4.0,3.0,False,False,96.07558823529412,156.11714285714285,1.6249407963530116,3266.57,58,69,56.32017241379311,47.51391304347826
69,5.0,3.0,False,False,72.16352941176469,64.50904761904762,0.8939286665284809,2453.5599999999995,32,47,76.67374999999998,28.823191489361704
72,6.0,15.0,True,True,62.486764705882344,52.339999999999996,0.8376173777976513,2124.5499999999997,39,13,54.47564102564102,84.54923076923076
81,3.0,7.0,True,True,99.93617647058822,13.86095238095238,0.13869804579757697,3397.8299999999995,62,16,54.80370967741935,18.1925
88,3.0,4.333333333333333,False,False,125.90676470588235,101.16190476190475,0.8034667954356425,4280.83,65,37,65.85892307692308,57.416216216216206
99,3.0,3.3333333333333335,False,False,64.70705882352941,57.51238095238095,0.888811545417789,2200.04,71,32,30.986478873239435,37.7425
113,4.0,2.6666666666666665,False,False,142.81323529411765,164.0042857142857,1.1483829588800085,4855.65,50,36,97.113,95.66916666666665
115,5.0,2.6666666666666665,False,False,98.16764705882352,140.74095238095236,1.4336795940175513,3337.7,39,38,85.58205128205128,77.7778947368421
125,2.0,2.3333333333333335,False,False,91.08647058823529,83.65619047619047,0.9184260838732673,3096.9399999999996,80,56,38.711749999999995,31.37107142857143
131,2.0,3.0,True,False,59.172941176470594,50.63095238095238,0.855643667093654,2011.88,94,36,21.402978723404257,29.53472222222222
143,1.0,8.333333333333334,True,True,81.1055882352941,10.824285714285715,0.13345918511661065,2757.5899999999997,119,16,23.17302521008403,14.206875
149,3.0,3.3333333333333335,False,False,92.27735294117645,88.04809523809524,0.9541679776426053,3137.4299999999994,46,26,68.20499999999998,71.11576923076923
156,1.0,4.0,True,True,78.1335294117647,26.609999999999996,0.3405708176801403,2656.54,155,53,17.138967741935485,10.543584905660376
184,3.0,6.0,True,True,59.56470588235294,74.89714285714287,1.25740808667927,2025.2,68,48,29.78235294117647,32.767500000000005
196,3.0,5.0,True,False,62.33382352941176,47.44571428571429,0.761155205942523,2119.35,65,22,32.605384615384615,45.289090909090916
198,1.0,6.333333333333333,True,True,121.26705882352941,70.05380952380953,0.5776821026537259,4123.08,130,26,31.716,56.58192307692308
209,6.0,2.3333333333333335,False,False,60.03735294117647,66.31000000000002,1.104479074301783,2041.27,34,25,60.03735294117647,55.70040000000001
218,4.0,13.666666666666666,True,True,98.67205882352941,69.16380952380953,0.7009462491048852,3354.85,50,21,67.097,69.16380952380953
219,3.0,3.6666666666666665,False,False,117.12,138.142380952381,1.1794943728857665,3982.08,64,52,62.22,55.788269230769245
222,4.5,5.0,False,False,68.04470588235293,42.53714285714286,0.6251352299279269,2313.5199999999995,49,18,47.214693877551014,49.62666666666667
232,1.0,2.3333333333333335,True,True,188.0285294117647,38.85571428571429,0.20664797202462798,6392.97,163,26,39.22067484662577,31.383461538461543
235,3.0,5.666666666666667,True,False,121.16264705882352,98.31047619047621,0.8113926080101835,4119.53,62,28,66.44403225806451,73.73285714285716
242,6.0,5.333333333333333,False,False,59.85264705882353,58.40571428571428,0.975825083029541,2034.99,34,19,59.85264705882353,64.55368421052631
243,3.0,2.3333333333333335,False,False,58.23705882352941,86.31952380952383,1.482209533814031,1980.06,62,45,31.936451612903223,40.28244444444446
248,24.5,7.666666666666667,False,False,57.182647058823534,96.2461904761905,1.6831363259063974,1944.21,11,19,176.74636363636364,106.37736842105267
253,2.0,1.6666666666666667,False,False,123.8314705882353,95.48666666666665,0.7711017741538347,4210.27,107,36,39.34831775700935,55.70055555555555
256,5.5,5.0,False,False,108.78794117647058,89.37761904761905,0.8215765284374208,3698.79,45,23,82.19533333333334,81.60565217391304
262,1.0,15.666666666666666,True,True,87.66029411764706,19.536666666666665,0.2228679114451397,2980.45,112,17,26.611160714285713,24.133529411764705
263,2.0,1.3333333333333333,False,False,65.1664705882353,62.86,0.964606482944134,2215.6600000000003,112,68,19.782678571428573,19.412647058823527
300,3.0,8.333333333333334,True,True,78.42088235294119,31.385714285714286,0.40022138675333535,2666.3100000000004,44,21,60.597954545454556,31.385714285714286
304,3.0,1.0,False,False,58.46382352941176,87.66238095238096,1.499429487506579,1987.77,69,50,28.808260869565217,36.818200000000004
317,8.0,14.0,True,False,70.29470588235294,52.47761904761906,0.7465372873946862,2390.02,24,11,99.58416666666666,100.18454545454547
321,5.0,8.0,True,False,66.19558823529412,52.75428571428572,0.7969456442741938,2250.65,40,16,56.26625,69.24000000000001
324,6.0,6.333333333333333,False,False,89.83411764705885,62.975714285714275,0.7010222389352548,3054.3600000000006,41,17,74.49658536585368,77.7935294117647
328,3.0,1.3333333333333333,False,False,181.07764705882352,161.6819047619048,0.892887153042043,6156.639999999999,80,29,76.958,117.08000000000003
351,2.0,4.333333333333333,True,True,85.60058823529411,78.09857142857143,0.9123602189963748,2910.4199999999996,94,57,30.961914893617017,28.773157894736844
354,3.0,6.333333333333333,True,True,109.42176470588237,102.45428571428572,0.936324560197647,3720.3400000000006,70,31,53.147714285714294,69.40451612903226
358,2.0,1.6666666666666667,False,False,152.22323529411764,142.69857142857146,0.9374296319011802,5175.59,96,87,53.912395833333335,34.444482758620694
361,3.0,3.0,False,False,77.78823529411765,97.4595238095238,1.2528825656094256,2644.8,72,35,36.733333333333334,58.47571428571428
365,4.0,8.0,True,True,92.94882352941175,54.86000000000001,0.5902172606051402,3160.2599999999998,53,22,59.627547169811315,52.366363636363644
367,7.0,5.666666666666667,False,False,69.18441176470587,85.30809523809523,1.233053704759759,2352.2699999999995,30,23,78.40899999999998,77.88999999999999
371,4.0,3.3333333333333335,False,False,137.055,207.61999999999998,1.5148662945532814,4659.87,51,39,91.37,111.7953846153846
