신호,양성,TP,precision,recall
카테고리 축소 단독,86,57,0.6627906976744186,0.5277777777777778
간격 x1.5 단독,161,72,0.4472049689440994,0.6666666666666666
둘 다 발화,65,46,0.7076923076923077,0.42592592592592593
간격만 (카테고리 미발화),96,26,0.2708333333333333,0.24074074074074073
카테고리만 (간격 미발화),21,11,0.5238095238095238,0.10185185185185185
