household_key,base_visits,base_spend,median_gap,p90_gap,gap_iqr,high_value,churned
939,32,1252.61,4.0,12.0,4.5,False,False
940,24,439.18,6.0,17.400000000000002,9.0,False,False
941,37,758.13,5.0,12.5,6.0,False,False
942,43,1646.5100000000002,3.0,13.599999999999994,2.75,False,False
943,16,663.27,3.0,20.599999999999994,5.5,False,False
944,21,543.3100000000001,8.5,25.0,13.5,False,False
945,15,411.92,10.5,35.400000000000006,17.25,False,False
946,33,925.9599999999999,6.0,11.900000000000002,6.0,False,False
947,74,786.79,2.0,6.799999999999997,4.0,False,False
949,43,1841.9099999999999,5.0,8.899999999999999,4.0,False,False
950,15,614.06,7.5,25.700000000000003,13.5,False,False
952,30,681.2300000000001,5.0,14.599999999999998,6.0,False,False
953,16,498.61,12.0,35.199999999999996,16.0,False,False
954,18,944.4800000000001,12.0,27.0,12.0,False,False
955,61,1083.21,2.0,9.200000000000003,3.0,False,False
956,146,2902.3,1.0,3.0,1.0,True,False
957,116,834.0899999999999,1.0,4.0,1.0,False,False
960,41,1032.3100000000002,4.0,11.200000000000003,6.25,False,False
961,30,1587.4500000000003,6.0,17.2,6.0,False,False
962,17,537.1700000000001,13.5,23.0,14.5,False,False
963,10,552.85,25.0,29.0,10.0,False,False
964,11,619.41,13.0,30.1,9.5,False,False
965,32,1269.67,4.0,19.0,5.0,False,False
966,8,67.52000000000001,25.0,50.80000000000001,17.5,False,False
968,69,3164.3300000000004,3.0,6.0,3.0,True,False
971,30,843.2200000000001,6.0,19.4,7.0,False,False
972,70,2483.24,3.0,5.0,3.0,True,False
973,29,4040.1100000000006,8.0,15.0,6.75,True,False
974,12,1136.48,10.0,40.0,18.0,False,False
975,45,1418.4600000000003,5.0,8.0,4.25,False,False
976,20,1179.09,9.0,24.199999999999996,13.0,False,False
977,11,286.0,25.5,34.99999999999999,11.5,False,False
978,34,1511.6000000000001,6.0,13.400000000000002,3.0,False,False
979,46,3196.9600000000005,4.0,10.0,5.0,True,False
981,12,381.7900000000001,14.0,22.0,12.0,False,False
982,94,6419.46,2.0,4.0,2.0,True,False
983,56,1230.7,3.0,9.0,3.0,False,False
985,22,261.82,8.0,28.0,9.0,False,False
986,24,550.12,8.0,15.8,8.5,False,False
987,33,765.9200000000001,3.0,13.700000000000006,4.5,False,False
988,24,1664.71,7.0,19.400000000000002,12.0,False,False
989,60,1587.09,3.0,8.0,4.0,False,False
993,43,1065.7,5.0,11.0,5.0,False,False
995,11,641.3199999999999,18.0,30.899999999999984,7.75,False,False
996,28,848.38,6.0,15.600000000000009,6.0,False,False
997,37,1655.89,5.5,10.0,5.25,False,False
998,77,3325.4599999999996,2.0,7.0,3.0,True,False
999,16,735.77,11.0,24.199999999999996,8.0,False,False
1000,36,1221.2500000000002,4.0,11.600000000000009,3.0,False,False
1001,16,558.79,3.0,27.799999999999997,10.5,False,False
1002,8,173.97,24.0,31.6,13.0,False,False
1003,18,838.38,11.0,25.6,16.0,False,False
1004,60,984.31,3.0,7.0,4.0,False,False
1005,51,782.66,3.0,10.0,4.0,False,False
1007,54,714.0300000000001,3.0,10.0,4.0,False,False
1008,8,54.99000000000001,18.0,49.80000000000002,9.0,False,False
1009,9,44.46,20.0,31.599999999999998,14.5,False,False
1010,14,486.8100000000001,15.0,34.8,18.0,False,False
1011,39,918.9100000000001,5.0,11.0,4.0,False,False
1012,44,694.09,4.0,12.000000000000021,4.0,False,False
1013,16,536.52,8.0,29.6,16.5,False,False
1014,52,1500.2900000000002,3.0,8.0,3.0,False,False
1015,45,1461.7500000000002,6.0,8.0,3.0,False,False
1016,13,1147.5000000000002,6.0,28.400000000000006,9.0,False,False
1017,18,835.21,7.0,25.6,7.0,False,False
1018,61,896.1299999999999,2.0,8.0,4.0,False,False
1019,13,430.46,10.0,24.0,9.25,False,False
1020,44,2842.9900000000002,4.0,9.0,4.0,True,False
1021,35,1034.3400000000001,4.0,13.0,6.0,False,False
1022,10,59.830000000000005,10.0,54.60000000000001,19.0,False,False
1023,99,7530.77,2.0,4.0,2.0,True,False
1024,30,2468.8300000000004,5.0,14.199999999999996,6.0,True,False
1025,21,934.8399999999999,6.0,19.60000000000001,10.25,False,False
1027,14,431.09999999999997,18.0,32.2,14.0,False,False
1028,8,61.04,26.0,60.8,34.0,False,True
1029,69,3727.650000000001,3.0,6.0,2.0,True,False
1030,15,444.11,12.5,32.900000000000006,12.75,False,False
1031,30,946.46,3.0,5.0,2.0,False,True
1032,38,746.11,5.0,8.799999999999997,4.0,False,False
1033,11,578.18,11.0,21.599999999999998,8.0,False,False
1034,30,272.38,4.0,17.199999999999996,5.0,False,False
1036,13,716.75,13.0,43.900000000000006,28.25,False,False
1037,13,378.2100000000001,13.0,34.1,19.25,False,False
1038,107,945.22,2.0,4.0,2.0,False,False
1039,31,2567.66,6.5,16.0,6.75,True,False
1040,80,2042.35,3.0,5.200000000000003,2.0,True,False
1041,46,2019.8699999999997,4.0,10.0,4.0,True,False
1042,80,1768.53,2.0,6.0,2.5,False,False
1043,10,408.28000000000003,20.0,54.2,23.0,False,False
1045,78,1460.56,2.0,7.0,3.0,False,False
1046,36,1371.1699999999998,6.0,11.0,5.0,False,False
1047,35,572.0200000000001,6.0,13.399999999999999,5.75,False,False
1048,19,255.23,3.5,14.3,4.75,False,False
1049,14,207.76999999999998,10.0,36.6,7.0,False,False
1050,18,991.94,8.0,14.4,7.0,False,False
1051,13,591.0799999999999,6.0,33.900000000000006,13.5,False,False
1053,33,1355.43,5.0,11.0,5.5,False,False
1054,20,452.2,10.0,25.599999999999998,17.0,False,False
1055,43,687.28,4.5,9.899999999999999,3.0,False,False
1056,18,1819.37,9.0,31.0,13.0,False,False
1057,53,2657.87,4.0,8.0,4.0,True,False
1058,145,1177.4,1.0,3.0,1.0,False,False
1060,21,1934.1399999999999,9.5,14.300000000000004,3.5,False,False
1061,22,453.61,7.0,19.0,8.0,False,False
1062,75,653.62,3.0,6.0,2.75,False,False
1063,34,891.36,5.0,13.8,6.0,False,False
1064,18,975.8999999999999,7.0,31.400000000000006,10.0,False,False
1065,14,1464.87,14.0,30.8,21.0,False,False
1066,92,1226.5599999999997,2.0,4.0,1.0,False,False
1067,15,783.2500000000001,12.0,24.60000000000001,13.0,False,False
1068,49,657.08,2.0,8.300000000000004,3.0,False,False
1069,19,1264.3199999999997,9.5,29.3,10.5,False,False
1070,59,1831.9400000000005,3.0,8.0,4.0,False,False
1071,28,842.9300000000002,6.0,17.60000000000001,10.0,False,False
1072,23,1026.31,9.0,13.900000000000002,5.75,False,False
1073,26,792.68,8.0,15.0,7.0,False,False
1074,39,2257.0699999999997,5.0,11.0,4.75,True,False
1075,21,669.19,8.5,20.900000000000013,12.0,False,False
1076,36,1178.7399999999998,3.0,12.600000000000001,6.0,False,False
1078,92,2428.6999999999994,2.0,5.0,2.0,True,False
1079,19,382.31,11.5,26.0,12.75,False,False
1080,18,1012.9200000000001,7.0,23.6,6.0,False,False
1081,52,3984.7899999999995,3.0,8.0,5.0,True,False
1082,28,390.07,7.0,14.400000000000002,3.0,False,False
1083,17,422.39000000000004,8.5,27.0,10.5,False,False
1084,70,897.54,2.0,7.0,3.0,False,False
1085,30,1528.3899999999999,7.0,14.799999999999997,6.0,False,False
1086,10,472.99000000000007,22.0,42.4,30.0,False,False
1087,55,1513.1,3.5,9.400000000000006,4.0,False,False
1088,27,478.83,7.0,16.0,8.5,False,False
1089,34,977.9,4.0,11.8,6.0,False,False
1091,53,2618.57,4.0,8.0,4.25,True,False
1092,14,249.03000000000003,5.0,48.40000000000002,11.0,False,False
1093,9,326.4,17.5,44.099999999999994,24.75,False,False
1094,27,1828.52,5.5,14.0,6.0,False,False
1095,15,247.01,11.5,20.400000000000002,12.75,False,False
1097,29,3083.8600000000006,6.5,22.3,6.25,True,False
1098,93,2860.73,2.0,5.0,2.0,True,False
1099,14,329.52,6.0,42.00000000000001,26.0,False,False
1100,10,84.73000000000002,9.0,70.8,14.0,False,False
1101,8,85.45000000000002,6.0,44.80000000000001,15.0,False,False
1102,28,816.95,5.0,14.800000000000004,6.0,False,False
1103,63,2576.25,3.0,6.899999999999999,3.0,True,False
1104,40,1062.72,5.0,12.400000000000006,5.0,False,False
1109,35,1236.03,6.0,10.7,4.75,False,False
1110,18,572.04,3.0,11.200000000000001,3.0,False,False
1111,118,7013.999999999999,1.0,4.0,1.0,True,False
1112,20,662.6199999999999,10.0,24.0,7.0,False,False
1113,56,1495.66,3.0,9.0,3.0,False,False
1115,11,569.38,16.5,53.599999999999994,28.5,False,False
1116,12,780.92,7.0,57.0,13.0,False,False
