segment_type,segment_value,promo_group,pair_weeks,products,stores,product_store_pairs,avg_weekly_sales,median_weekly_sales,sales_incidence_rate,avg_buyer_count,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate,avg_store_sales_share_rate,avg_category_sales_share_rate,none_avg_sales,none_incidence,none_sales_per_visitor,none_buyer_penetration,none_basket_share,none_category_sales_share,raw_sales_lift_vs_none_pct,incidence_diff_pp,sales_per_visitor_lift_pct,buyer_penetration_lift_pct,basket_share_lift_pct,category_sales_share_lift_pct
brand,National,none,6350,635,95,1777,0.613992125984252,0.0,0.25496062992125984,0.2888188976377953,0.0321212170520365,0.015254784267364159,0.008874166987180722,0.0006075346909941369,0.09459167423365432,0.613992125984252,0.25496062992125984,0.0321212170520365,0.015254784267364159,0.008874166987180722,0.09459167423365432,0.0,0.0,0.0,0.0,0.0,0.0
brand,National,display_only,103693,2405,107,11293,0.8066436500053099,0.0,0.23534857704955975,0.26613175431321306,0.046313345594235125,0.01538987543902308,0.009154654650349692,0.0008934444550360868,0.07959064780045216,0.613992125984252,0.25496062992125984,0.0321212170520365,0.015254784267364159,0.008874166987180722,0.09459167423365432,31.376872091353025,-1.9612052871700092,44.18303490558068,0.8855659266708393,3.160721040906167,-15.858717540137391
brand,National,mailer_only,176138,3759,108,22467,1.250545481383889,0.0,0.30203590366644334,0.38378430548774256,0.07119184261048175,0.021588563090179053,0.012995878426942442,0.0013620587428874646,0.12571462654927845,0.613992125984252,0.25496062992125984,0.0321212170520365,0.015254784267364159,0.008874166987180722,0.09459167423365432,103.67451445394656,4.7075273745183495,121.6349476894063,41.519950146822325,46.446178505720994,32.902422509983495
brand,National,both,70436,1951,108,11369,1.3803197228689876,0.0,0.3569907433698677,0.43846896473394287,0.08061401566878017,0.025128179017623584,0.015335269915727435,0.001557714141418475,0.09756416396042983,0.613992125984252,0.25496062992125984,0.0321212170520365,0.015254784267364159,0.008874166987180722,0.09459167423365432,124.81065545527707,10.203011344860785,150.96812346239915,64.72326699094924,72.80799356018623,3.1424432973171212
brand,Private,none,6562,397,95,1510,0.5156217616580313,0.0,0.26927765925022856,0.3172813166717464,0.028429624368527542,0.017772407387488937,0.01030515910362706,0.0005286662846594882,0.0886659428813432,0.5156217616580313,0.26927765925022856,0.028429624368527542,0.017772407387488937,0.01030515910362706,0.0886659428813432,0.0,0.0,0.0,0.0,0.0,0.0
brand,Private,display_only,68755,990,108,6127,0.8604337139117016,0.0,0.3006181368627736,0.3900661770053087,0.04829642621987587,0.022357862819368808,0.013301717784691653,0.0009460384499936003,0.09145319988484886,0.5156217616580313,0.26927765925022856,0.028429624368527542,0.017772407387488937,0.01030515910362706,0.0886659428813432,66.87304103397311,3.1340477612545046,69.88063434753462,25.800980879539416,29.07823790910622,3.143548597047796
brand,Private,mailer_only,111566,1256,108,10758,0.9793815320079703,0.0,0.328119678038112,0.45995195668931393,0.057415560994731774,0.02679781025784976,0.016470870583443945,0.0011367396499504857,0.09077965035384566,0.5156217616580313,0.26927765925022856,0.028429624368527542,0.017772407387488937,0.01030515910362706,0.0886659428813432,89.94185366782715,5.8842018787883426,101.95680481199933,50.78323197066901,59.83130796735363,2.3839000678435474
brand,Private,both,36749,738,108,6011,1.06294293722278,0.0,0.40528993986230916,0.5726142207951237,0.061103140221956655,0.033271270983049966,0.01989644159684409,0.0011934751473291108,0.1138470542830679,0.5156217616580313,0.26927765925022856,0.028429624368527542,0.017772407387488937,0.01030515910362706,0.0886659428813432,106.14780373209713,13.60122806120806,114.92770861088016,87.2074517404525,93.07262893050559,28.39998153002581
commodity_top30,BACON,display_only,1123,22,54,118,0.7732056990204809,0.0,0.195013357079252,0.201246660730187,0.043665219121586,0.011850404924546568,0.0068177104748438355,0.0007825331421093775,0.12851239328620767,,,,,,,,,,,,
commodity_top30,BACON,mailer_only,1539,22,73,245,1.6191682910981158,0.0,0.3541260558804418,0.4184535412605588,0.09104563605827394,0.02364194637448451,0.013433472007623447,0.0016736670169427436,0.24820651308589395,,,,,,,,,,,,
