sample_definition,none_sales_per_visitor,display_sales_per_visitor,mailer_sales_per_visitor,both_sales_per_visitor,none_buyer_penetration,display_buyer_penetration,mailer_buyer_penetration,both_buyer_penetration,additive_sales_per_visitor_increment,additive_sales_per_visitor_increment_pct,additive_buyer_penetration_increment_pp
active_12_visitors_10plus,0.0359290356602478,0.05909936781589795,0.08455937722633289,0.09054158823783036,0.02004954253854791,0.02325264786888075,0.03127147116330623,0.03431115933939504,-0.017188121144152683,-47.83908287070942,-0.016341715424402978
active_8_all_traffic,0.03268725566321671,0.051137409054728106,0.07287897594096897,0.08054764946753924,0.01780454806184165,0.01968157373615904,0.0262329396856958,0.030277553802717735,-0.010781479864941122,-32.983741357870024,0.21675884427045447
active_8_visitors_10plus,0.03024511488434864,0.04710399963728531,0.06584966928392774,0.07392459866271267,0.01653426404696919,0.018168011296416122,0.02360860754388063,0.027920085409725754,-0.00878395537415174,-29.04255912976312,0.2677730616398189
active_8_visitors_5plus,0.03227590845572936,0.05042840046235518,0.07146016766123044,0.07921160957712951,0.017598577031876006,0.01942542946925302,0.025659047420562985,0.029828372017507775,-0.01040105009072674,-32.22542939416606,0.23424721595677772
