event_group,relative_week,event_observations,clean_events,avg_weekly_sales,median_weekly_sales,sales_incidence_rate,avg_buyer_count,avg_panel_visitors,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate,pre_period_sales_index,pre_period_sales_per_visitor_index
display_only,-4,3,3,1.5266666666666666,2.0,0.6666666666666666,0.6666666666666666,17.0,0.0822156862745098,0.03627450980392157,0.024420024420024417,248.23848238482384,281.60013929395376
display_only,-3,3,3,0.0,0.0,0.0,0.0,17.333333333333332,0.0,0.0,0.0,0.0,0.0
display_only,-2,3,3,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
display_only,-1,3,3,0.9333333333333332,0.0,0.3333333333333333,0.3333333333333333,20.666666666666668,0.0345679012345679,0.012345679012345678,0.006944444444444444,151.76151761517616,118.39986070604624
display_only,0,3,3,0.0,0.0,0.0,0.0,17.666666666666668,0.0,0.0,0.0,0.0,0.0
display_only,1,3,3,0.11333333333333334,0.0,0.3333333333333333,0.3333333333333333,22.0,0.006296296296296296,0.018518518518518517,0.011904761904761904,18.42818428184282,21.565688914315565
display_only,2,3,3,0.4666666666666666,0.0,0.3333333333333333,0.3333333333333333,20.0,0.016666666666666666,0.011904761904761904,0.007751937984496124,75.88075880758808,57.085647126129444
display_only,3,3,3,0.7999999999999999,1.0,0.6666666666666666,0.6666666666666666,17.666666666666668,0.05432098765432098,0.04938271604938271,0.027777777777777776,130.08130081300814,186.05692396664406
display_only,4,3,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,19.333333333333332,0.025641025641025644,0.025641025641025644,0.018518518518518517,54.20054200542005,87.8240725017376
