sample_definition,promo_group,pair_weeks,products,stores,product_store_pairs,avg_panel_visitors,total_panel_sales,avg_weekly_sales,median_weekly_sales,purchase_incidence_rate,avg_buyer_penetration_rate,avg_sales_per_visitor,avg_basket_share_rate,avg_store_sales_share_rate,avg_category_sales_share_rate,none_avg_sales,none_incidence,none_buyer_penetration,none_sales_per_visitor,none_basket_share,none_store_sales_share,none_category_sales_share,raw_sales_lift_vs_none_pct,purchase_incidence_diff_pp,buyer_penetration_lift_pct,sales_per_visitor_lift_pct,basket_share_lift_pct,store_sales_share_lift_pct,category_sales_share_lift_pct
active_8_all_traffic,none,14163,1059,106,3454,19.62825672527007,7812.460000000016,0.5516105344912813,0.0,0.25707830261950154,0.01780454806184165,0.03268725566321671,0.010351165635945188,0.000612672518825329,0.09511268683205328,0.5516105344912813,0.25707830261950154,0.01780454806184165,0.03268725566321671,0.010351165635945188,0.000612672518825329,0.09511268683205328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active_8_all_traffic,display_only,192765,3459,112,17970,17.87136150234742,155122.48000000176,0.8047232640780316,0.0,0.2560578943272897,0.01968157373615904,0.051137409054728106,0.01174091927853753,0.0010055427037340223,0.08781880579798788,0.5516105344912813,0.25707830261950154,0.01780454806184165,0.03268725566321671,0.010351165635945188,0.000612672518825329,0.09511268683205328,45.88613047794341,-0.10204082922118385,10.542394380344856,56.44448583144144,13.426059358632237,64.12400961968059,-7.668673104508839
active_8_all_traffic,mailer_only,319246,5073,112,34054,18.263019740262994,359380.3199999938,1.12571596825017,0.0,0.3099334055869142,0.0262329396856958,0.07287897594096897,0.01603872879553968,0.0014307414622171427,0.11794591312021115,0.5516105344912813,0.25707830261950154,0.01780454806184165,0.03268725566321671,0.010351165635945188,0.000612672518825329,0.09511268683205328,104.07804018615296,5.285510296741264,47.33841934419954,122.95838075810201,54.946112927069876,133.52466746187494,24.006499078799017
active_8_all_traffic,both,119639,2747,112,17933,17.895544095152918,148297.44999999966,1.239541035949813,0.0,0.36739691906485344,0.030277553802717735,0.08054764946753924,0.01837415470641644,0.0015792145819045326,0.10758027309685053,0.5516105344912813,0.25707830261950154,0.01780454806184165,0.03268725566321671,0.010351165635945188,0.000612672518825329,0.09511268683205328,124.71308259059452,11.03186164453519,70.05516622804923,146.41912523167343,77.508073512135,157.75835105715942,13.108226336631713
active_8_visitors_5plus,none,14092,1058,106,3446,19.710474027817202,7786.910000000018,0.552576639227932,0.0,0.257451036048822,0.017598577031876006,0.03227590845572936,0.010144024315066948,0.0006025855087663951,0.09473757929517945,0.552576639227932,0.257451036048822,0.017598577031876006,0.03227590845572936,0.010144024315066948,0.0006025855087663951,0.09473757929517945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active_8_visitors_5plus,display_only,191270,3457,111,17929,17.984859099701993,154437.8000000018,0.807433471009577,0.0,0.25676791969467244,0.01942542946925302,0.05042840046235518,0.011573382497848124,0.0009914339119937653,0.08740849552048995,0.552576639227932,0.257451036048822,0.017598577031876006,0.03227590845572936,0.010144024315066948,0.0006025855087663951,0.09473757929517945,46.121535672904045,-0.06831163541495822,10.380682677173647,56.24161448940883,14.090642316956469,64.52999575502827,-7.736194896698645
active_8_visitors_5plus,mailer_only,316471,5072,112,34017,18.394718631406985,357377.00999999384,1.1292567407439982,0.0,0.3103791500643029,0.025659047420562985,0.07146016766123044,0.015602535680103951,0.0013964394120318524,0.11715623557656858,0.552576639227932,0.257451036048822,0.017598577031876006,0.03227590845572936,0.010144024315066948,0.0006025855087663951,0.09473757929517945,104.36201253853437,5.292811401548087,45.80183030757081,121.40404741588426,53.81011712412263,131.74128679108534,23.663953046064236
active_8_visitors_5plus,both,118767,2746,111,17913,18.001852366398072,147558.12999999954,1.2424169171571189,0.0,0.36799784451910045,0.029828372017507775,0.07921160957712951,0.01805599736467866,0.0015505546620803057,0.10709583730826301,0.552576639227932,0.257451036048822,0.017598577031876006,0.03227590845572936,0.010144024315066948,0.0006025855087663951,0.09473757929517945,124.84065176787813,11.054680847027843,69.49309005767994,145.42023251112704,77.99639279117298,157.31695162311158,13.044726395824636
active_8_visitors_10plus,none,12912,1032,102,3287,20.8045229244114,7282.360000000014,0.5639993804213146,0.0,0.2622366790582404,0.01653426404696919,0.03024511488434864,0.009601410657264471,0.0005674530241440775,0.09157789660522471,0.5639993804213146,0.2622366790582404,0.01653426404696919,0.03024511488434864,0.009601410657264471,0.0005674530241440775,0.09157789660522471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
active_8_visitors_10plus,display_only,172448,3395,108,17420,19.10363123956207,142802.42000000286,0.8280897429950064,0.0,0.26137154388569306,0.018168011296416122,0.04710399963728531,0.010808088298763464,0.0009144136754579172,0.0843407939605061,0.5639993804213146,0.2622366790582404,0.01653426404696919,0.03024511488434864,0.009601410657264471,0.0005674530241440775,0.09157789660522471,46.8245838100767,-0.08651351725473266,9.880979551348146,55.740852092649405,12.567712022462185,61.14350202594845,-7.902674021785428
