metric,raw_difference,stratified_difference,common_support_strata,common_support_households
category_recovery_28,0.049945258661750036,0.026218557335717166,3,67
category_recovery_56,0.08730083699672242,0.07610298396729342,3,67
return_rate_28,0.0016233766233766378,0.020686043466876143,3,67
return_rate_56,0.05519480519480524,0.07410316836868287,3,67
sales_28,4.507207792207822,0.49561141660124974,3,67
sales_56,37.477045454545305,35.07773151784937,3,67
sales_retention_28,-0.059109074849082566,-0.07713269029583579,3,67
sales_retention_56,0.00864709904375438,-0.0010049078911479187,3,67
visit_days_28,-0.04058441558441572,-0.27976346338483027,3,67
visit_days_56,-0.4090909090909083,-0.7376931133804661,3,67
visit_retention_28,-0.028424281657480344,-0.04134221076093522,3,67
visit_retention_56,-0.06975356122050702,-0.07913733914018582,3,67
