metric,unassigned_households,assigned_households,unassigned_mean,assigned_mean,raw_difference,unassigned_median,assigned_median
category_recovery_28,11,56,0.5502174136045707,0.6001626722663207,0.049945258661750036,0.3927601809954751,0.6441176268515889
category_recovery_56,11,56,0.5393358924094809,0.6266367294062033,0.08730083699672242,0.4354838709677419,0.6015452759991101
return_rate_28,11,56,0.9090909090909091,0.9107142857142857,0.0016233766233766378,1.0,1.0
return_rate_56,11,56,0.9090909090909091,0.9642857142857143,0.05519480519480524,1.0,1.0
sales_28,11,56,163.66636363636366,168.17357142857148,4.507207792207822,137.55,151.57500000000002
sales_56,11,56,296.01545454545465,333.49249999999995,37.477045454545305,248.99000000000004,273.5450000000001
sales_retention_28,11,56,0.583462419393154,0.5243533445440715,-0.059109074849082566,0.39228136690768345,0.44811144620406207
sales_retention_56,11,56,0.5095285349609712,0.5181756340047255,0.00864709904375438,0.3550495730510509,0.45012485041970535
visit_days_28,11,56,4.2727272727272725,4.232142857142857,-0.04058441558441572,3.0,4.0
visit_days_56,11,56,8.909090909090908,8.5,-0.4090909090909083,8.0,8.0
visit_retention_28,11,56,0.6265704672881458,0.5981461856306655,-0.028424281657480344,0.2833333333333333,0.53125
visit_retention_56,11,56,0.6548398663136115,0.5850863050931044,-0.06975356122050702,0.5402542372881356,0.5561233403214536
