household_key,baseline_visit_days,baseline_sales,baseline_commodities,high_value_cutoff,baseline_weekly_sales,baseline_weekly_visits,normal_gap_days,recent_three_gap_days,gap_ratio,normal_4week_commodities,normal_8week_commodities,recent_8week_commodities,category_ratio,is_stage1_monitor,is_stage2_target,holdout_returned
81,62,3397.829999999996,138,1938.548,99.93617647058811,1.8235294117647058,3.0,7.0,2.3333333333333335,57.74193548387097,83.33333333333333,25,0.30000000000000004,1,1,1
156,155,2656.539999999991,154,1938.548,78.13352941176444,4.5588235294117645,1.0,4.0,4.0,56.29032258064516,84.88888888888889,56,0.6596858638743456,1,1,1
218,50,3354.8499999999767,138,1938.548,98.67205882352873,1.4705882352941178,4.0,13.666666666666666,3.4166666666666665,43.903225806451616,67.29629629629629,41,0.6092460099064393,1,1,1
235,62,4119.529999999972,142,1938.548,121.1626470588227,1.8235294117647058,3.0,5.666666666666667,1.888888888888889,57.58064516129032,82.96296296296296,56,0.675,1,1,1
262,112,2980.449999999987,142,1938.548,87.66029411764669,3.2941176470588234,1.0,15.666666666666666,15.666666666666666,51.645161290322584,78.81481481481481,9,0.11419172932330827,1,1,1
300,44,2666.3099999999945,124,1938.548,78.42088235294102,1.2941176470588236,3.0,8.333333333333334,2.777777777777778,44.645161290322584,69.29629629629629,26,0.37520042757883487,1,1,1
321,40,2250.649999999998,118,1938.548,66.19558823529405,1.1764705882352942,5.0,8.0,1.6,41.16129032258065,62.25925925925926,41,0.6585365853658537,1,1,1
365,53,3160.259999999993,121,1938.548,92.94882352941156,1.5588235294117647,4.0,8.0,2.0,41.516129032258064,62.18518518518518,38,0.6110780226325194,1,1,1
378,116,1997.800000000002,123,1938.548,58.75882352941182,3.411764705882353,2.0,3.0,1.5,44.645161290322584,65.92592592592592,46,0.697752808988764,1,1,1
548,37,2025.260000000001,136,1938.548,59.56647058823532,1.088235294117647,5.0,9.0,1.8,44.96774193548387,70.22222222222223,33,0.46993670886075944,1,1,1
569,45,3257.499999999979,140,1938.548,95.80882352941114,1.3235294117647058,4.0,9.666666666666666,2.4166666666666665,48.354838709677416,72.77777777777777,19,0.26106870229007634,1,1,1
577,20,2180.890000000002,139,1938.548,64.14382352941183,0.5882352941176471,10.0,39.0,3.9,43.193548387096776,67.88888888888889,32,0.4713584288052373,1,1,1
582,57,2362.989999999999,122,1938.548,69.49970588235291,1.6764705882352942,3.0,15.333333333333334,5.111111111111112,33.87096774193548,55.0,36,0.6545454545454545,1,1,1
607,102,2297.5899999999997,130,1938.548,67.57617647058822,3.0,2.0,26.0,13.0,54.225806451612904,78.0,1,0.01282051282051282,1,1,1
623,52,2759.099999999997,110,1938.548,81.14999999999992,1.5294117647058822,4.0,7.333333333333333,1.8333333333333333,31.35483870967742,47.2962962962963,10,0.211433046202036,1,1,1
709,61,2649.56,119,1938.548,77.92823529411764,1.7941176470588236,3.0,9.333333333333334,3.111111111111111,47.064516129032256,67.0,25,0.373134328358209,1,1,1
728,127,4740.119999999958,153,1938.548,139.41529411764583,3.735294117647059,1.5,9.666666666666666,6.444444444444444,61.064516129032256,86.85185185185185,32,0.3684434968017058,1,1,1
740,40,2558.8899999999935,152,1938.548,75.2614705882351,1.1764705882352942,4.0,9.0,2.25,58.193548387096776,88.55555555555556,50,0.5646173149309912,1,1,1
804,75,2358.019999999999,128,1938.548,69.35352941176468,2.2058823529411766,3.0,9.666666666666666,3.222222222222222,53.645161290322584,76.92592592592592,39,0.5069812229176698,1,1,1
806,37,2153.2999999999993,134,1938.548,63.33235294117645,1.088235294117647,4.0,6.666666666666667,1.6666666666666667,40.12903225806452,65.11111111111111,43,0.6604095563139931,1,1,1
845,43,2062.830000000007,135,1938.548,60.67147058823551,1.2647058823529411,4.5,11.0,2.4444444444444446,45.03225806451613,69.07407407407408,43,0.6225201072386058,1,1,1
855,67,2217.1400000000012,107,1938.548,65.21000000000004,1.9705882352941178,2.5,46.0,18.4,38.935483870967744,60.55555555555556,4,0.06605504587155964,1,1,1
878,66,2634.5099999999948,135,1938.548,77.48558823529396,1.9411764705882353,3.0,4.666666666666667,1.5555555555555556,56.54838709677419,81.0,55,0.6790123456790124,1,1,1
886,74,2013.8300000000022,110,1938.548,59.23029411764713,2.176470588235294,2.0,6.666666666666667,3.3333333333333335,28.225806451612904,50.25925925925926,31,0.6168017686072218,1,1,1
908,74,2431.4899999999984,132,1938.548,71.51441176470584,2.176470588235294,2.0,7.0,3.5,47.41935483870968,71.0,41,0.5774647887323944,1,1,1
909,150,4401.549999999974,196,1938.548,129.4573529411757,4.411764705882353,1.0,10.0,10.0,71.35483870967742,104.51851851851852,60,0.5740609496810772,1,1,1
918,58,1944.2800000000036,131,1938.548,57.18470588235305,1.7058823529411764,2.0,24.0,12.0,41.096774193548384,62.407407407407405,12,0.19228486646884274,1,1,0
998,77,3325.459999999992,143,1938.548,97.80764705882329,2.264705882352941,2.0,6.0,3.0,53.96774193548387,81.88888888888889,56,0.683853459972863,1,1,1
1091,53,2618.5699999999947,124,1938.548,77.0167647058822,1.5588235294117647,4.0,15.333333333333334,3.8333333333333335,48.83870967741935,69.62962962962963,12,0.1723404255319149,1,1,1
1159,118,2420.8999999999987,134,1938.548,71.20294117647055,3.4705882352941178,2.0,3.6666666666666665,1.8333333333333333,46.45161290322581,70.14814814814815,48,0.6842661034846884,1,1,1
1211,42,2906.2999999999984,95,1938.548,85.47941176470583,1.2352941176470589,5.0,13.666666666666666,2.7333333333333334,35.67741935483871,53.48148148148148,36,0.6731301939058172,1,1,1
1222,71,2906.8799999999883,148,1938.548,85.49647058823496,2.088235294117647,2.0,3.3333333333333335,1.6666666666666667,59.41935483870968,89.22222222222223,62,0.6948941469489415,1,1,1
