active_campaign_band,households,household_weeks,visit_rate,avg_sales_value
0_none,1099,54586,0.640200784083831,43.582712050708565
1_one,969,21940,0.7591157702825889,59.40464767547867
2_plus,612,5899,0.8330225461942702,87.4333293778607
