department_relation,exposure_state,households,household_departments,household_department_weeks,avg_any_feature_exposure,avg_feature_mailer_exposure,avg_display_exposure,avg_both_exposure,department_purchase_rate,avg_department_sales_value,active_campaign_week_rate
other_purchased,exposed,859,1889,43591,0.6238573805165444,0.5083862423548491,0.1695917362434523,0.05412059808176514,0.3717510495285724,3.730906838567592,0.4321534261659517
other_purchased,not_exposed,866,1944,102209,0.0,0.0,0.0,0.0,0.2854934496962107,2.542874991439035,0.39086577502959624
preferred_top3,exposed,1098,2688,115523,0.3703493278871139,0.2583735383318814,0.1652136408302021,0.05323785127494125,0.5987379136622144,18.793275191952695,0.36552028600365294
preferred_top3,not_exposed,1090,2579,89527,0.0,0.0,0.0,0.0,0.45999530867782906,7.35447395757647,0.32985579769231627
