eligible_product_band,households,avg_baseline_baskets,avg_home_store_share
02_5_9,203,20.655172413793103,0.8204077781012052
03_10_14,175,25.97142857142857,0.8220931435367166
04_15_20,721,40.196948682385575,0.832612101605103
