sample_definition,comparable_households,avg_high_exposure,avg_low_exposure,mean_visit_difference_pct_point,visit_difference_standard_error_pct_point,mean_home_store_visit_difference_pct_point,home_store_visit_difference_standard_error_pct_point,mean_sales_value_difference,sales_difference_standard_error,mean_home_store_sales_value_difference,home_store_sales_difference_standard_error,households_positive_visit_difference_pct,households_positive_sales_difference_pct
all_weeks_history_eligible5,1121,0.31847961490157667,0.12465068537084316,0.31121259818359115,0.29983700682343034,1.3313925992555324,0.3588506781891158,0.2397313695574096,0.3861469454259603,0.7497578140379775,0.359617996698846,50.04460303300624,48.706512042818915
baseline_history_eligible5,1099,0.3522596596573862,0.1411079074873598,0.13917686053099443,0.30216644191164266,1.2839391566444898,0.3631112510764496,0.25835584252702376,0.39735189243426544,0.8930430746893088,0.37129318539385503,49.499545040946316,50.955414012738856
candidate_top20,1858,0.42141451250027906,0.11879348512515539,0.07558490413370114,0.2517425804744371,0.8637507712339747,0.26900505642246086,0.3130809961471371,0.28595386188267063,0.5302017532993404,0.2509647268964909,49.94617868675996,50.48439181916039
home70_top20,839,0.3530729248050085,0.13968440213647562,0.10882328822513036,0.3415938679988105,1.3077547580169593,0.4132650400021538,0.7451087069889414,0.4598847214616183,1.3125436880265995,0.4521627117648721,48.98688915375447,52.08581644815256
no_history_filter_eligible5,1168,0.2503445377410606,0.09247009235006132,0.45273398124473474,0.29533658377828015,1.295937899793822,0.34540518324430564,0.5711682852163373,0.3743303739912988,0.9215103239731328,0.3503503970400908,51.54109589041096,49.40068493150685
primary_eligible1_top20,1215,0.3785022152349282,0.1322163644459978,0.08060778471427808,0.29453348137261054,1.1226688598156789,0.3401035463535247,0.2358226985996272,0.36829524266372043,0.757478859493149,0.3404122645743012,49.711934156378604,50.617283950617285
primary_top10,1099,0.3790842961774164,0.13151533609160584,0.4421992443279775,0.2986492775654669,1.430322298024962,0.3629910459528199,0.5758503286004,0.4026902115835201,1.1376996614000208,0.37498623828957856,51.04640582347588,51.228389444949954
primary_top20,1099,0.3522596596573862,0.14110790748735944,0.1391768605309942,0.30216644191164266,1.2839391566444915,0.36311125107644915,0.2583558425270246,0.3973518924342651,0.8930430746893084,0.371293185393855,49.499545040946316,50.955414012738856
