baseline_week_band,households,avg_baseline_baskets,avg_home_store_share
01_1_4,127,6.519685039370079,0.7821678540182473
02_5_7,470,8.797872340425531,0.7697115848304016
03_8_13,843,20.729537366548044,0.7778091272343212
04_14_26,565,48.88672566371682,0.7770925789944642
