exposure_type,households,pooled_within_customer_sd,between_customer_sd,avg_customer_sd,households_with_variation_rate
any_feature,1099,0.1322281230534082,0.07663900861308208,0.1270256216596299,1.0
any_mailer,1099,0.12665296783835872,0.04536135413057023,0.12139812769460272,1.0
both,1099,0.060326469319144656,0.02759259736034598,0.053352792901316205,0.9881710646041856
coupon_mailer,1099,0.012355906679349967,0.0013810406830619443,0.006898789694049772,0.565059144676979
display,1099,0.08399880936038018,0.07963594298871207,0.07554628483517159,0.9945404913557779
feature_mailer,1099,0.12479963140990794,0.04477894249219109,0.11950210890189379,1.0
free_mailer,1099,0.019701460739601932,0.002765950810520313,0.014279996958656562,0.7388535031847133
