campaign_segment,comparable_households,avg_high_exposure,avg_low_exposure,mean_visit_difference_pct_point,visit_difference_standard_error_pct_point,mean_home_store_visit_difference_pct_point,home_store_visit_difference_standard_error_pct_point,mean_sales_value_difference,sales_difference_standard_error,mean_home_store_sales_value_difference,home_store_sales_difference_standard_error,households_positive_visit_difference_pct,households_positive_sales_difference_pct
all_primary_weeks,1099,0.35225965965738604,0.1411079074873597,0.13917686053099435,0.3021664419116426,1.2839391566444895,0.3631112510764494,0.2583558425270243,0.39735189243426544,0.8930430746893103,0.3712931853938549,49.499545040946316,50.955414012738856
campaign_active_weeks,968,0.3469959766959497,0.14053043116205852,0.11469806422185588,0.6187819631465311,1.3736306883309872,0.6555959000724302,0.6015621380010967,0.6378308333922429,1.0879050307052394,0.5974383641014469,44.214876033057855,50.0
campaign_inactive_weeks,1099,0.3526780371692042,0.14370043343152403,0.3329131364502781,0.3614128878146403,0.9163927111939952,0.39370801037473785,0.6606366297737684,0.5513334875138581,0.8201438267522023,0.4772364248584378,47.5887170154686,51.31938125568699
never_campaign_recipient,130,0.37755339224409057,0.1315523193987112,-0.6931802854314317,1.045380866694757,1.5069822381819051,0.9794775589122726,-0.13424506501275354,0.9676211047949714,1.1043226103816979,0.7091929569301626,50.76923076923077,49.23076923076923
