exposure_quartile,households,household_weeks,avg_any_feature_exposure,avg_feature_mailer_exposure,avg_display_exposure,avg_both_exposure,visit_rate,home_store_visit_rate,avg_weekly_sales_value,avg_sales_per_visit_week,avg_baskets,active_campaign_week_rate,avg_weeks_since_last_visit
1,1068,20607,0.0599783284719296,0.04239288183491932,0.02654429141183404,0.008958844774820205,0.6699179890328529,0.5175425826175571,48.28687727471238,72.07878884462137,1.628475760663852,0.33954481486873395,2.4126267773086814
2,1074,20606,0.1732042294896707,0.120074916326534,0.08091014101070014,0.02778082784756298,0.6996020576531108,0.5656119576822285,53.97634766572845,77.15292869034408,1.7500242647772493,0.3487333786275842,2.199747646316607
3,1081,20606,0.272099850081731,0.18612162240510188,0.1305129059932214,0.04453467831659779,0.700184412307095,0.5701252062506066,53.74430942443949,76.75736345993903,1.7952538095700281,0.3486363195185868,2.2040182471124914
4,1087,20606,0.4438654596563617,0.30258189098097354,0.21834176079846052,0.07705819212305796,0.6729108026788314,0.5374648160729885,47.72268077259027,70.91977210442775,1.6722313889158498,0.3140832767155198,2.42443948364554
