sample_definition,households,avg_eligible_products,median_eligible_products,p10_eligible_products,p90_eligible_products,avg_excluded_weight_share,median_excluded_weight_share,p90_excluded_weight_share,avg_baseline_home_store_share,avg_outcome_home_store_share
candidate,1863,12.229200214707461,13.0,2.0,20.0,0.4740820587831151,0.4516129032258065,0.8181818181818181,0.778079062979158,0.6382778611428818
home70,839,15.852205005959476,20.0,7.0,20.0,0.38036738250837454,0.37254901960784315,0.6,0.9008037686722521,0.7592166033441541
primary,1099,15.842584167424931,20.0,7.0,20.0,0.3788993985261557,0.3709677419354839,0.6,0.8286828064883988,0.6975831065858127
