exposure_type,households,household_weeks,mean_exposure,sd_exposure,median_exposure,p90_exposure,zero_exposure_rate
any_feature,1099,82425,0.23728481577372704,0.152833328477335,0.22,0.44000000000000006,0.07075523202911738
any_mailer,1099,82425,0.16641574492388142,0.13453185989257943,0.14285714285714285,0.3448275862068966,0.13793145283591143
both,1099,82425,0.0395827642242146,0.06633760986648697,0.0,0.125,0.590585380649075
coupon_mailer,1099,82425,0.0009467337333728843,0.012432922241766387,0.0,0.0,0.9883409159842281
display,1099,82425,0.11407621283226749,0.1157487321458442,0.08888888888888889,0.2702702702702703,0.26754018804974217
feature_mailer,1099,82425,0.1627913671656733,0.1325906884064263,0.140625,0.33333333333333337,0.14175310888686685
free_mailer,1099,82425,0.0026776440248348116,0.019894791989796226,0.0,0.0,0.973588110403397
