sample_definition,households,household_weeks,mean_exposure,sd_exposure,p10,p25,p50,p75,p90,zero_exposure_rate
candidate_top20,1863,139725,0.24220053139248213,0.20835992695079314,0.0,0.09090909090909091,0.21348314606741572,0.34426229508196715,0.5,0.17976740025049204
home70_top20,839,62925,0.236769488078792,0.1541434131533765,0.04938271604938271,0.125,0.2181818181818182,0.33333333333333326,0.44262295081967207,0.07075089392133492
primary_top10,1099,82425,0.24382030586890732,0.17665472514242642,0.0,0.10416666666666667,0.2222222222222222,0.3559322033898305,0.48717948717948717,0.1254473764027904
primary_top20,1099,82425,0.23728481577372704,0.152833328477335,0.05128205128205128,0.125,0.22,0.3333333333333333,0.44000000000000006,0.07075523202911738
