WEEK_NO,households,avg_any_feature_exposure,avg_feature_mailer_exposure,avg_display_exposure,avg_both_exposure,avg_coupon_mailer_exposure,avg_free_mailer_exposure
27,1099,0.19518436152002686,0.08824786538499188,0.12991590804898934,0.022979411913954247,0.0,0.0
28,1099,0.23566325701819835,0.1345527984750891,0.14613377426966578,0.04502331572655633,0.0010554479781288068,0.0
29,1099,0.2747851623768311,0.21264065552437458,0.12862854985979247,0.06648404300733551,0.0,0.0
30,1099,0.2617622392801085,0.1714035610305117,0.13228517928757477,0.04192650103797742,0.0,0.0
31,1099,0.24090152452146107,0.1463058253253742,0.12149681454112099,0.02690111534503359,0.0,0.0
32,1099,0.20504075425342264,0.13808501803532883,0.1205872771227081,0.05363154090461414,0.0,0.0
33,1099,0.2432117235029093,0.14912089632861664,0.12389940933706337,0.029808582162770225,0.0,0.0
34,1099,0.2752456251444047,0.20363845341828102,0.11788361853399987,0.04627644680787619,0.0,0.0
35,1099,0.2356350343152889,0.15394711061539343,0.10916614450825941,0.027478220808363804,0.0,0.0
36,1099,0.17127547916500777,0.10149332954756973,0.10144601245934112,0.031663862841903284,0.00011648872700500862,0.0
37,1099,0.22788235834565906,0.15399382785904925,0.09535965911110261,0.021471128624492613,0.0,0.0
38,1099,0.2762294481416548,0.20651198711888422,0.09742225697572517,0.02770479595295402,0.0,0.0
39,1099,0.25615670525354123,0.18636874748512383,0.12082954418814318,0.051041586419725775,0.0,0.0
40,1099,0.1938720181383958,0.11874191133750565,0.10953012016379177,0.034400013362901466,0.0,0.0
41,1099,0.25041651538343035,0.18401596745259827,0.12309609005541658,0.056695542124584046,0.0,0.0
42,1099,0.24520861326102436,0.16777668706085724,0.12132115444149587,0.04388922824132835,0.0,0.0
43,1099,0.24530522835533583,0.17486081671231732,0.12801171617570276,0.0575673045326839,0.0,0.0
44,1099,0.22880268536403417,0.12817255591425347,0.13018118450815488,0.029551055058374267,0.0,0.0
45,1099,0.220013180348299,0.1295346981312465,0.13103843250923838,0.040559950292185926,0.0,0.0
46,1099,0.27783139536417883,0.21450654789436216,0.13367767228506502,0.07035282481524813,0.0,0.0
