period,households,avg_home_store_share,median_home_store_share,p25,p75,share_below_50_rate
baseline,2005,0.7759851190628495,0.8181818181818182,0.6090225563909775,0.9836065573770492,0.114214463840399
outcome,2005,0.6312103536544516,0.7088055442315533,0.38787576203489593,0.9092117988394584,0.32418952618453867
