household_key,is_candidate_analysis,is_primary_analysis,is_primary_eligible1_analysis,is_primary_all_weeks_analysis,is_primary_no_history_filter_analysis,is_home70_analysis,first_observed_week,baseline_baskets,n_baseline_purchase_weeks,baseline_weekly_visit_rate,home_store_id,baseline_home_store_share,outcome_home_store_share,n_eligible_products,n_eligible_products_all_weeks,n_repeated_products_no_history_filter,original_top20_baskets,eligible_original_top20_baskets,excluded_weight_share
1353,1,1,1,1,1,0,3,16,13,0.5416666666666666,319,0.6875,0.3448275862068966,11,15,20,48,21,0.5625
1354,1,0,0,0,0,0,11,7,6,0.375,406,1.0,0.43037974683544306,6,6,9,31,14,0.5483870967741935
1356,1,1,1,1,1,1,2,19,14,0.56,333,0.9473684210526315,0.9850746268656716,20,20,20,88,68,0.2272727272727273
1357,1,1,1,1,1,1,9,18,16,0.8888888888888888,365,1.0,0.9264705882352942,12,12,12,89,81,0.0898876404494382
1358,1,1,1,1,1,0,12,23,10,0.6666666666666666,289,0.6521739130434783,0.9789473684210527,20,20,20,49,35,0.2857142857142857
1359,1,0,1,1,1,0,9,13,9,0.5,359,0.9230769230769231,0.8387096774193549,4,7,9,34,13,0.6176470588235294
1360,1,0,0,0,0,0,9,7,7,0.3888888888888889,316,1.0,0.9375,5,11,15,51,16,0.6862745098039216
1362,1,0,0,0,0,0,16,5,5,0.45454545454545453,402,0.8,0.9107142857142857,1,1,3,23,2,0.9130434782608696
1363,1,0,0,0,0,0,11,5,5,0.3125,318,1.0,0.9803921568627451,8,9,11,33,17,0.48484848484848486
1364,1,1,1,1,1,1,1,44,22,0.8461538461538461,31742,0.7954545454545454,0.74,15,20,20,67,36,0.4626865671641791
1366,1,0,0,0,0,0,11,42,15,0.9375,367,0.4523809523809524,0.677570093457944,20,20,20,57,40,0.29824561403508776
1367,1,1,1,1,1,1,4,64,21,0.9130434782608695,384,0.859375,0.9068100358422939,20,20,20,116,74,0.3620689655172413
1369,1,1,1,1,1,1,3,59,23,0.9583333333333334,446,1.0,0.975609756097561,20,20,20,157,84,0.46496815286624205
1370,1,1,1,1,1,1,13,12,12,0.8571428571428571,318,0.9166666666666666,0.9714285714285714,20,20,20,154,58,0.6233766233766234
1371,1,0,0,0,0,0,2,7,5,0.2,330,0.42857142857142855,0.631578947368421,6,7,7,29,14,0.5172413793103448
1372,1,1,1,1,1,1,3,10,9,0.375,381,0.7,0.13333333333333333,19,19,20,50,48,0.040000000000000036
1374,1,0,0,0,0,0,11,11,8,0.5,343,0.36363636363636365,0.13793103448275862,13,17,20,49,31,0.36734693877551017
1375,1,1,1,1,1,1,17,14,8,0.8,334,1.0,0.5728155339805825,20,20,20,51,28,0.4509803921568627
1376,1,1,1,1,1,1,15,34,12,1.0,310,0.7647058823529411,0.8040201005025126,20,20,20,65,34,0.4769230769230769
