promo_group,pair_weeks,product_store_pairs,avg_sales_per_pair_week,median_sales_per_pair_week,positive_sales_rate,total_sales
none,7330633,145265,0.4743876824824413,0.0,0.1299196126719207,3477561.999999306
display_only,434527,50529,0.5553443169239348,0.0,0.18493442294725068,241312.1000000066
mailer_only,702011,92925,0.7476405213023487,0.0,0.2142516285357352,524851.8699999831
both,250100,48119,0.893226149540193,0.0,0.2811275489804078,223395.86000000226
