promo_group,avg_sales_per_pair_week,positive_sales_rate,lift_vs_none
none,0.3331116383411544,0.11617408661881647,0.0
display_only,0.49625016339720673,0.1854648521529092,0.48974129474568184
mailer_only,0.5464232121411522,0.19885342155393834,0.6403606156250112
both,0.7146912582412874,0.2591676943089761,1.1455007150165688
