model,effect_type,effect,ci_low,ci_high,p_value
Revisit logistic,Odds ratio,1.372583294762981,0.9786750944731536,1.9250361143363914,0.0664915163589741
Basket count negative binomial,Incidence-rate ratio,1.0469633014587343,0.9796922466642879,1.1188535566485762,0.17558290727693915
Sensitivity: log1p basket OLS,exp(beta),1.0705201353080063,1.0111712112897941,1.133352440521008,0.019192730789500248
