comparison,households,avg_profiled_weight,median_profiled_weight,avg_multistore_profiled_weight,median_multistore_profiled_weight,avg_sales_positive_weight,avg_penetration_positive_weight,avg_any_positive_weight,avg_joint_positive_weight,avg_home_store_profiled_weight,avg_home_store_sales_positive_weight,avg_home_store_penetration_positive_weight,households_with_any_positive_product_pct,households_with_joint_positive_product_pct
both_vs_additive,1099,0.17143613604863325,0.1607142857142857,0.04705667303180751,0.02654867256637168,0.03128713344326261,0.023785101656398664,0.03260649414066601,0.02246574095899524,0.008508015629194308,0.00403531115309311,0.003953913360608896,38.762511373976345,27.024567788899002
both_vs_none,1099,0.18539028021873147,0.17073170731707316,0.0523283093846741,0.03508771929824561,0.01893628769392011,0.019457412098319256,0.019770697889703284,0.018623001902536077,0.010551644331789045,0.006370262572461676,0.00654228554788004,28.480436760691536,27.206551410373063
display_only_vs_none,1099,0.21344350903190001,0.2,0.0684077220203903,0.04878048780487805,0.016618121064829933,0.01703722829037442,0.01944287908348889,0.01421247027171546,0.014187580202482536,0.0076011509027930765,0.008004988056909733,27.115559599636036,20.83712465878071
mailer_only_vs_none,1099,0.22397075465537014,0.21333333333333335,0.058760052419237686,0.04054054054054054,0.015992124697636306,0.013603477372158956,0.017157459928239808,0.01243814214155545,0.013014170014424427,0.00740431419270966,0.007248565005473802,25.38671519563239,19.381255686988172
