comparison,department_relation,target_kpi,households,household_departments,avg_profiled_share_within_department,avg_multistore_profiled_share_within_department,avg_sales_positive_share_within_department,avg_penetration_positive_share_within_department,avg_any_positive_share_within_department,avg_home_store_profiled_share_within_department,avg_strategy_candidate_share,median_strategy_candidate_share,households_with_strategy_candidate_pct,avg_positive_candidate_products
both_vs_additive,other_purchased,department_purchase_rate,866,1944,0.012308950566679674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
both_vs_additive,preferred_top3,home_store_sales_value,1098,2734,0.11923088071110456,0.028019377334336727,0.01941879256311291,0.014518623168496508,0.020075120187835315,0.005462792579359586,0.01941879256311291,0.0,13.350402340892465,0.1616678858814923
both_vs_none,other_purchased,department_purchase_rate,866,1944,0.02110924572642091,0.00017146776406035664,0.00017146776406035664,0.00017146776406035664,0.00017146776406035664,0.00023270625122476975,0.00017146776406035664,0.0,0.051440329218107,0.00051440329218107
both_vs_none,preferred_top3,home_store_sales_value,1098,2734,0.13072680155527933,0.031241431675281945,0.010566246555457058,0.010877450475434251,0.011063709027390184,0.006699437777618101,0.010566246555457058,0.0,9.509875640087785,0.11155815654718361
display_only_vs_none,other_purchased,department_purchase_rate,866,1944,0.02034057209434624,0.001286008230452675,0.0,0.0,0.0,0.0011635312561238487,0.0,0.0,0.0,0.0
display_only_vs_none,preferred_top3,home_store_sales_value,1098,2734,0.14648587707590788,0.04155804894807424,0.009535828843076842,0.010198251121967773,0.011271219104123296,0.008861392975147424,0.009535828843076842,0.0,7.863935625457205,0.10863204096561814
mailer_only_vs_none,other_purchased,department_purchase_rate,866,1944,0.03371775045016569,0.0021789579839613118,0.0021789579839613118,0.0021789579839613118,0.0021789579839613118,0.0011356065059768764,0.0021789579839613118,0.0,0.823045267489712,0.00823045267489712
mailer_only_vs_none,preferred_top3,home_store_sales_value,1098,2734,0.16665225658052557,0.03899276893669435,0.012978817010458856,0.011666561302008608,0.013773345239953124,0.009063560907895323,0.012978817010458856,0.0,9.473299195318214,0.11082662765179224
