household_key,comparison,preferred_products,total_preference_weight,profiled_products,profiled_weight,multistore_profiled_products,multistore_profiled_weight,sales_positive_weight,penetration_positive_weight,any_positive_weight,joint_positive_weight,home_store_profiled_products,home_store_profiled_weight,home_store_sales_positive_weight,home_store_penetration_positive_weight,weighted_median_spv_difference,weighted_median_bpr_difference
1,both_vs_additive,20,0.9999999999999997,2,0.07407407407407407,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1,both_vs_none,20,0.9999999999999997,3,0.16049382716049382,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1,display_only_vs_none,20,0.9999999999999997,3,0.16049382716049382,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1,mailer_only_vs_none,20,0.9999999999999997,2,0.07407407407407407,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2,both_vs_additive,11,0.9999999999999998,1,0.12,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2,both_vs_none,11,0.9999999999999998,1,0.12,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2,display_only_vs_none,11,0.9999999999999998,2,0.2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
2,mailer_only_vs_none,11,0.9999999999999998,2,0.2,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
6,both_vs_additive,20,0.9999999999999996,3,0.10606060606060606,1,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0,0.0,0.0,0.0,0.16836150148988288,0.04128756979795421
6,both_vs_none,20,0.9999999999999996,4,0.13636363636363635,1,0.030303030303030304,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.07045406843319933,-0.0015695903236861222
6,display_only_vs_none,20,0.9999999999999996,4,0.13636363636363635,1,0.030303030303030304,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.10056833513172979,-0.016514079457296535
6,mailer_only_vs_none,20,0.9999999999999996,3,0.10606060606060606,1,0.030303030303030304,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.13824723479135242,-0.026096656611362498
8,both_vs_additive,20,0.9999999999999997,4,0.2391304347826087,2,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.10869565217391304,0,0.0,0.0,0.0,0.026550979872273405,0.020291161389009472
8,both_vs_none,20,0.9999999999999997,5,0.30434782608695654,4,0.21739130434782608,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0,0.0,0.0,0.0,1.688139538178692e-05,0.0042034334873556406
8,display_only_vs_none,20,0.9999999999999997,6,0.3478260869565218,4,0.2173913043478261,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,1,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.005573191668725727,6.522157822692395e-05
8,mailer_only_vs_none,20,0.9999999999999997,6,0.34782608695652173,2,0.10869565217391304,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.013385750669084004,-0.00650241733575067
