discount_band,baskets,avg_net_sales,avg_gross_sales,median_net_sales,avg_products,avg_discount_rate
>50%,2207,6.988400543724516,16.06788400543723,2.78,2.642954236520163,0.5719439184271321
No discount,45444,8.863247073321022,8.863247073321022,5.58,2.1181234046298743,8.982708286548394e-05
"(0, 10%]",80869,30.421257465777984,32.248922578491225,21.96,7.1408079733890615,0.0516772817215364
"(25%, 50%]",42026,22.312269547423046,32.666271593775335,12.0,8.791747965545138,0.3319018216764162
"(10%, 25%]",105938,40.036872227151456,48.018380562215434,24.510000000000005,14.599964129962808,0.16692802284935326
