AGE_DESC,households,avg_sales,median_sales,avg_baskets,avg_basket_value
19-24,46,4708.326521739133,4018.895000000001,176.7173913043478,28.776080406476343
25-34,142,5478.42429577465,4736.0250000000015,159.85915492957747,39.118088684205716
35-44,194,6402.818505154642,5494.275000000003,188.79381443298968,40.2685317470092
45-54,288,5755.093923611113,4713.040000000003,178.45138888888889,36.72558233551578
55-64,59,5054.729152542375,4209.350000000002,170.45762711864407,33.103163949371236
65+,72,4241.029583333335,3551.520000000001,158.79166666666666,32.59202947787668
