product_band,band_order,baskets,avg_basket_sales,median_basket_sales,avg_products,avg_departments
1,1,60045,13.042733782996162,6.0,1.0,1.0
2-5,2,91884,10.588704344608443,8.260000000000002,3.183644595359366,1.7938269992599365
6-10,3,47704,22.365469143048813,19.740000000000002,7.708284420593661,2.7351794398792553
11-20,4,41023,41.39448943275727,38.290000000000006,14.684689076859323,3.6774492357945543
21+,5,35828,98.70300156302338,86.78999999999999,35.53184660042425,5.141090766997879
