INCOME_DESC,households,avg_sales,median_sales,avg_baskets,avg_basket_value
Under 15K,61,5559.611475409839,4827.800000000001,209.4262295081967,30.27356714777936
15-24K,74,4097.124324324326,3549.880000000001,164.06756756756758,27.43289729783995
25-34K,77,4938.069870129872,4405.470000000001,197.84415584415584,32.736143283438025
35-49K,172,4802.00854651163,3895.150000000001,172.33139534883722,32.637971837722986
50-74K,192,5702.354687500003,4980.1500000000015,167.83333333333334,38.44442343880124
75-99K,96,5822.530208333337,4881.040000000003,149.125,42.3591296519708
100-124K,34,5927.740294117649,5949.720000000004,186.55882352941177,37.558254976615544
125-149K,38,7912.055263157893,6004.790000000004,201.18421052631578,47.63357166056067
150-174K,30,8394.840666666669,8437.100000000004,165.13333333333333,55.95808697446044
175-199K,11,8548.462727272725,6644.850000000003,190.63636363636363,44.41431282833531
200-249K,5,5726.486000000004,5399.640000000005,114.2,51.548676436324286
250K+,11,10789.900000000003,11938.200000000006,218.0,54.20020019848233
